rendement_heure_solaire_pv_10_est-ouest;rendement_heure_solaire_pv_90_sud
#[kWh/h/m^2];#[kWh/h/m^2]
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0011;0.0025
0.0190;0.0279
0.0355;0.0220
0.0477;0.0279
0.0515;0.0271
0.0472;0.5701
0.0365;0.4289
0.0210;0.0296
0.0020;0.0042
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0003;0.0008
0.0157;0.0254
0.0254;0.0321
0.0366;0.0338
0.0441;0.0355
0.0405;0.4500
0.0405;0.4416
0.0192;0.0271
0.0020;0.0042
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0013;0.0025
0.0197;0.0279
0.0365;0.0228
0.0480;0.0271
0.0533;0.0296
0.0500;0.7029
0.0398;0.4923
0.0231;0.0423
0.0024;0.0051
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0006;0.0017
0.0089;0.0161
0.0165;0.0321
0.0225;0.0423
0.0244;0.0516
0.0230;0.1193
0.0159;0.0499
0.0086;0.0186
0.0004;0.0008
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0010;0.0025
0.0194;0.0288
0.0356;0.0237
0.0452;0.0305
0.0455;0.1024
0.0428;0.6437
0.0345;0.4517
0.0202;0.0575
0.0030;0.0068
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0003;0.0008
0.0022;0.0076
0.0042;0.0152
0.0052;0.0195
0.0042;0.0152
0.0347;0.4162
0.0273;0.3003
0.0169;0.0677
0.0024;0.0093
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0022;0.0068
0.0119;0.0288
0.0217;0.0482
0.0409;0.0567
0.0335;0.0922
0.0119;0.0389
0.0174;0.0812
0.0126;0.0533
0.0017;0.0059
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
0.0000;0.0000
