Heure; Bilan [kWh]; Stockage [kWh]; Température du stock [°C]; COP chauffage; COP ECS; ECS Gachée
1.000000;0.000000;401526.022960;80.000932;5.000000;5.000000;0.000000;600.000000
2.000000;0.000000;401527.416008;80.001161;5.000000;5.000000;0.000000;600.000000
3.000000;0.000000;401525.020224;80.000768;5.000000;5.000000;0.000000;600.000000
4.000000;0.000000;401518.687680;79.999727;5.000000;5.000000;0.000000;600.000000
5.000000;0.000000;401508.414456;79.998038;5.000000;5.000000;0.000000;600.000000
6.000000;0.000000;401317.250021;79.966615;5.000000;5.000000;0.000000;600.000000
7.000000;0.000000;400759.507525;79.874936;5.000000;5.000000;0.000000;487.634648
8.000000;0.000000;400541.363912;79.839079;5.000000;5.000000;0.000000;465.525077
9.000000;0.000000;400507.480080;79.833509;5.000000;5.000000;0.000000;494.432943
10.000000;0.000000;400483.808676;79.829618;5.000000;5.000000;0.000000;555.782667
11.000000;0.000000;400423.317710;79.819675;5.000000;5.000000;0.000000;600.000000
12.000000;0.000000;400335.156872;79.805184;5.000000;5.000000;0.000000;600.000000
13.000000;0.000000;400606.096988;79.849719;5.000000;5.000000;0.000000;563.728288
14.000000;0.000000;400925.141674;79.902162;5.000000;5.000000;0.000000;600.000000
15.000000;0.000000;400961.881234;79.908202;5.000000;5.000000;0.000000;600.000000
16.000000;0.000000;400900.977864;79.898191;5.000000;5.000000;0.000000;588.289522
17.000000;0.000000;400636.314500;79.854686;5.000000;5.000000;0.000000;575.992506
18.000000;0.000000;400104.532438;79.767275;5.000000;5.000000;0.000000;551.881843
19.000000;0.000000;399761.705113;79.710922;5.000000;5.000000;0.000000;403.582549
20.000000;0.000000;399549.399563;79.676025;5.000000;5.000000;0.000000;220.561909
21.000000;-0.000000;399438.435494;79.657785;5.000000;5.000000;0.000000;231.328754
22.000000;0.000000;399325.138699;79.639162;5.000000;5.000000;0.000000;240.562974
23.000000;0.000000;399216.614076;79.621323;5.000000;5.000000;0.000000;251.637813
24.000000;0.000000;399124.711786;79.606216;5.000000;5.000000;0.000000;280.487937
25.000000;0.000000;399028.142952;79.590343;5.000000;5.000000;0.000000;310.487529
26.000000;0.000000;398927.299301;79.573767;5.000000;5.000000;0.000000;340.487121
27.000000;0.000000;398822.266539;79.556502;5.000000;5.000000;0.000000;370.486713
28.000000;0.000000;398713.364371;79.538601;5.000000;5.000000;0.000000;400.486306
29.000000;0.000000;398599.580484;79.519898;5.000000;5.000000;0.000000;430.485898
30.000000;0.000000;398345.437170;79.478123;5.000000;5.000000;0.000000;441.999141
31.000000;0.000000;397751.681280;79.380524;5.000000;5.000000;0.000000;328.218837
32.000000;0.000000;397498.012018;79.338827;5.000000;5.000000;0.000000;302.608714
33.000000;0.000000;397410.142261;79.324384;5.000000;5.000000;0.000000;323.237199
