heure;habitat_collectif;restauration;commerces;bureaux
1;0;0;0;0
2;0;0;0;0
3;0;0;0;0
4;0;0;0;0
5;0;0;0;0
6;134;0;0;1.82578397142857
7;467.78256;0;0;1.82578397142857
8;133.65216;0;0.536995285714286;5.47735191428571
9;0;5.52789264705882;1.07399057142857;9.12891985714286
10;0;5.52789264705882;1.07399057142857;7.30313588571428
11;133.65216;11.0557852941176;1.07399057142857;3.65156794285714
12;267.30432;27.6394632352941;1.61098585714286;1.82578397142857
13;133.65216;44.2231411764706;1.61098585714286;3.65156794285714
14;0;27.6394632352941;1.61098585714286;7.30313588571428
15;0;5.52789264705882;1.07399057142857;5.47735191428571
16;0;5.52789264705882;1.07399057142857;3.65156794285714
17;200.47824;5.52789264705882;2.14798114285714;1.82578397142857
18;467.78256;5.52789264705882;2.68497642857143;0
19;267.30432;16.5836779411765;2.14798114285714;0
20;133.65216;16.5836779411765;1.07399057142857;0
21;0;44.2231411764706;0;0
22;0;38.6952485294118;0;0
23;0;22.1115705882353;0;0
24;0;0;0;0
25;0;0;0;0
26;0;0;0;0
27;0;0;0;0
28;0;0;0;0
29;0;0;0;0
30;133.65216;0;0;1.82578397142857
31;467.78256;0;0;1.82578397142857
32;133.65216;0;0.536995285714286;5.47735191428571
33;0;5.52789264705882;1.07399057142857;9.12891985714286
34;0;5.52789264705882;1.07399057142857;7.30313588571428
35;133.65216;11.0557852941176;1.07399057142857;3.65156794285714
36;267.30432;27.6394632352941;1.61098585714286;1.82578397142857
37;133.65216;44.2231411764706;1.61098585714286;3.65156794285714
38;0;27.6394632352941;1.61098585714286;7.30313588571428
39;0;5.52789264705882;1.07399057142857;5.47735191428571
40;0;5.52789264705882;1.07399057142857;3.65156794285714
41;200.47824;5.52789264705882;2.14798114285714;1.82578397142857
42;467.78256;5.52789264705882;2.68497642857143;0
43;267.30432;16.5836779411765;2.14798114285714;0
44;133.65216;16.5836779411765;1.07399057142857;0
45;0;44.2231411764706;0;0
46;0;38.6952485294118;0;0
47;0;22.1115705882353;0;0
48;0;0;0;0
49;0;0;0;0
50;0;0;0;0
