,A3,,A1 habitations,,A1 bureau,,B2 habitations,,B2 bureau,,C1 habitations,,C1 restauration,,C1 dépôt,,C2 habitations,,C2 bureau,,D1 ferme,,D2 dépôt
A3,A3,A1 habitations,,A1 bureau,,B2 habitations,,B2 bureau,,C1 habitations,,C1 restauration,,C1 dépôt,,C2 habitations,,C2 bureau,,D1 ferme,,D2 dépôt,
#Dates,P[W/m2],Dates,P[W/m2],Dates,P[W/m2],Dates,P[W/m2],Dates,P[W/m2],Dates,P[W/m2],Dates,P[W/m2],Dates,P[W/m2],Dates,P[W/m2],Dates,P[W/m2],Dates,P[W/m2],Dates,P[W/m2]
Samedi 1 Janv. à 00h00,0,Samedi 1 Janv. à 00h00,0.9,Samedi 1 Janv. à 00h00,2.1,Samedi 1 Janv. à 00h00,1.1,Samedi 1 Janv. à 00h00,0,Samedi 1 Janv. à 00h00,2.2,Samedi 1 Janv. à 00h00,0,Samedi 1 Janv. à 00h00,0,Samedi 1 Janv. à 00h00,2.1,Samedi 1 Janv. à 00h00,1,Samedi 1 Janv. à 00h00,3,Samedi 1 Janv. à 00h00,0
Samedi 1 Janv. à 01h00,0,Samedi 1 Janv. à 01h00,1.1,Samedi 1 Janv. à 01h00,2.2,Samedi 1 Janv. à 01h00,1.2,Samedi 1 Janv. à 01h00,0,Samedi 1 Janv. à 01h00,2.4,Samedi 1 Janv. à 01h00,0,Samedi 1 Janv. à 01h00,0,Samedi 1 Janv. à 01h00,2.3,Samedi 1 Janv. à 01h00,1.2,Samedi 1 Janv. à 01h00,3.2,Samedi 1 Janv. à 01h00,0
Samedi 1 Janv. à 02h00,0,Samedi 1 Janv. à 02h00,1.3,Samedi 1 Janv. à 02h00,2.4,Samedi 1 Janv. à 02h00,1.4,Samedi 1 Janv. à 02h00,0,Samedi 1 Janv. à 02h00,2.6,Samedi 1 Janv. à 02h00,0,Samedi 1 Janv. à 02h00,0,Samedi 1 Janv. à 02h00,2.5,Samedi 1 Janv. à 02h00,1.4,Samedi 1 Janv. à 02h00,3.5,Samedi 1 Janv. à 02h00,0
Samedi 1 Janv. à 03h00,0,Samedi 1 Janv. à 03h00,1.5,Samedi 1 Janv. à 03h00,2.6,Samedi 1 Janv. à 03h00,1.6,Samedi 1 Janv. à 03h00,0,Samedi 1 Janv. à 03h00,2.8,Samedi 1 Janv. à 03h00,0,Samedi 1 Janv. à 03h00,0,Samedi 1 Janv. à 03h00,2.7,Samedi 1 Janv. à 03h00,1.5,Samedi 1 Janv. à 03h00,3.7,Samedi 1 Janv. à 03h00,0
Samedi 1 Janv. à 04h00,0,Samedi 1 Janv. à 04h00,1.6,Samedi 1 Janv. à 04h00,2.8,Samedi 1 Janv. à 04h00,1.8,Samedi 1 Janv. à 04h00,0,Samedi 1 Janv. à 04h00,2.9,Samedi 1 Janv. à 04h00,0,Samedi 1 Janv. à 04h00,0,Samedi 1 Janv. à 04h00,2.9,Samedi 1 Janv. à 04h00,1.7,Samedi 1 Janv. à 04h00,3.9,Samedi 1 Janv. à 04h00,0
Samedi 1 Janv. à 05h00,0,Samedi 1 Janv. à 05h00,1.8,Samedi 1 Janv. à 05h00,3,Samedi 1 Janv. à 05h00,2,Samedi 1 Janv. à 05h00,0,Samedi 1 Janv. à 05h00,3.2,Samedi 1 Janv. à 05h00,0,Samedi 1 Janv. à 05h00,0,Samedi 1 Janv. à 05h00,3.1,Samedi 1 Janv. à 05h00,1.8,Samedi 1 Janv. à 05h00,4.2,Samedi 1 Janv. à 05h00,0
Samedi 1 Janv. à 06h00,0,Samedi 1 Janv. à 06h00,2,Samedi 1 Janv. à 06h00,3.1,Samedi 1 Janv. à 06h00,2.1,Samedi 1 Janv. à 06h00,0,Samedi 1 Janv. à 06h00,3.3,Samedi 1 Janv. à 06h00,0,Samedi 1 Janv. à 06h00,0,Samedi 1 Janv. à 06h00,3.3,Samedi 1 Janv. à 06h00,2,Samedi 1 Janv. à 06h00,4.4,Samedi 1 Janv. à 06h00,0
Samedi 1 Janv. à 07h00,0,Samedi 1 Janv. à 07h00,2.2,Samedi 1 Janv. à 07h00,3.3,Samedi 1 Janv. à 07h00,2.3,Samedi 1 Janv. à 07h00,0,Samedi 1 Janv. à 07h00,3.5,Samedi 1 Janv. à 07h00,0,Samedi 1 Janv. à 07h00,0,Samedi 1 Janv. à 07h00,3.5,Samedi 1 Janv. à 07h00,2.1,Samedi 1 Janv. à 07h00,4.7,Samedi 1 Janv. à 07h00,0
Samedi 1 Janv. à 08h00,0,Samedi 1 Janv. à 08h00,1.5,Samedi 1 Janv. à 08h00,2.9,Samedi 1 Janv. à 08h00,1.7,Samedi 1 Janv. à 08h00,0,Samedi 1 Janv. à 08h00,2.9,Samedi 1 Janv. à 08h00,0,Samedi 1 Janv. à 08h00,0,Samedi 1 Janv. à 08h00,2.8,Samedi 1 Janv. à 08h00,1.8,Samedi 1 Janv. à 08h00,4.3,Samedi 1 Janv. à 08h00,0
Samedi 1 Janv. à 09h00,0,Samedi 1 Janv. à 09h00,0,Samedi 1 Janv. à 09h00,1.8,Samedi 1 Janv. à 09h00,0,Samedi 1 Janv. à 09h00,0,Samedi 1 Janv. à 09h00,0,Samedi 1 Janv. à 09h00,0,Samedi 1 Janv. à 09h00,0,Samedi 1 Janv. à 09h00,0,Samedi 1 Janv. à 09h00,0,Samedi 1 Janv. à 09h00,3.1,Samedi 1 Janv. à 09h00,0
