Heure; Bilan [kWh]; Stockage [kWh]; Température du stock [°C]; COP chauffage; COP ECS; ECS Gachée
1.000000;0.000000;1606056.618877;79.998982;5.000000;5.000000;0.000000
2.000000;0.000000;1606027.559713;79.997787;5.000000;5.000000;0.000000
3.000000;0.000000;1605994.713230;79.996438;5.000000;5.000000;0.000000
4.000000;0.000000;1605957.931138;79.994926;5.000000;5.000000;0.000000
5.000000;0.000000;1605917.209152;79.993253;5.000000;5.000000;0.000000
6.000000;0.000000;1605695.593916;79.984146;5.000000;5.000000;0.000000
7.000000;0.000000;1605107.403146;79.959975;5.000000;5.000000;0.000000
8.000000;0.000000;1604858.801857;79.949759;5.000000;5.000000;0.000000
9.000000;0.000000;1604780.237230;79.946530;5.000000;5.000000;0.000000
10.000000;0.000000;1604716.625744;79.943916;5.000000;5.000000;0.000000
11.000000;0.000000;1604636.804224;79.940636;5.000000;5.000000;0.000000
12.000000;0.000000;1604521.071080;79.935880;5.000000;5.000000;0.000000
13.000000;0.000000;1604519.810533;79.935828;5.000000;5.000000;0.000000
14.000000;0.000000;1604651.287543;79.941231;5.000000;5.000000;0.000000
15.000000;0.000000;1604648.511924;79.941117;5.000000;5.000000;0.000000
16.000000;0.000000;1604557.174457;79.937364;5.000000;5.000000;0.000000
17.000000;0.000000;1604262.076784;79.925237;5.000000;5.000000;0.000000
18.000000;0.000000;1603699.856431;79.902133;5.000000;5.000000;0.000000
19.000000;0.000000;1603326.581895;79.886794;5.000000;5.000000;0.000000
20.000000;0.000000;1603083.823707;79.876818;5.000000;5.000000;0.000000
21.000000;-0.000000;1602942.403988;79.871007;5.000000;5.000000;0.000000
22.000000;0.000000;1602798.650405;79.865099;5.000000;5.000000;0.000000
23.000000;0.000000;1602659.667812;79.859388;5.000000;5.000000;0.000000
24.000000;0.000000;1602537.306459;79.854360;5.000000;5.000000;0.000000
25.000000;0.000000;1602410.277776;79.849140;5.000000;5.000000;0.000000
26.000000;0.000000;1602278.973404;79.843744;5.000000;5.000000;0.000000
27.000000;0.000000;1602143.478971;79.838176;5.000000;5.000000;0.000000
28.000000;0.000000;1602004.114103;79.832449;5.000000;5.000000;0.000000
29.000000;0.000000;1601859.866415;79.826521;5.000000;5.000000;0.000000
30.000000;0.000000;1601575.258111;79.814825;5.000000;5.000000;0.000000
31.000000;0.000000;1600951.033444;79.789174;5.000000;5.000000;0.000000
32.000000;0.000000;1600666.885340;79.777497;5.000000;5.000000;0.000000
33.000000;0.000000;1600539.052964;79.772244;5.000000;5.000000;0.000000
34.000000;0.000000;1600440.681707;79.768201;5.000000;5.000000;0.000000
35.000000;0.000000;1600220.977916;79.759173;5.000000;5.000000;0.000000
36.000000;-0.000000;1599878.793667;79.745111;5.000000;5.000000;0.000000
37.000000;0.000000;1599825.703381;79.742930;5.000000;5.000000;0.000000
38.000000;0.000000;1599919.027957;79.746765;5.000000;5.000000;0.000000
39.000000;0.000000;1599856.362084;79.744189;5.000000;5.000000;0.000000
40.000000;0.000000;1599771.184875;79.740689;5.000000;5.000000;0.000000
41.000000;0.000000;1599469.876774;79.728307;5.000000;5.000000;0.000000
42.000000;0.000000;1598901.446180;79.704948;5.000000;5.000000;0.000000
43.000000;0.000000;1598521.961589;79.689354;5.000000;5.000000;0.000000
44.000000;0.000000;1598266.108532;79.678840;5.000000;5.000000;0.000000
45.000000;0.000000;1598101.671838;79.672083;5.000000;5.000000;0.000000
46.000000;0.000000;1597934.996469;79.665233;5.000000;5.000000;0.000000
47.000000;0.000000;1597781.989278;79.658946;5.000000;5.000000;0.000000
48.000000;0.000000;1597649.473748;79.653500;5.000000;5.000000;0.000000
49.000000;0.000000;1597515.994693;79.648015;5.000000;5.000000;0.000000
50.000000;0.000000;1597380.643142;79.642453;5.000000;5.000000;0.000000
51.000000;0.000000;1597243.707151;79.636826;5.000000;5.000000;0.000000
52.000000;0.000000;1597103.665769;79.631071;5.000000;5.000000;0.000000
53.000000;0.000000;1596962.139087;79.625255;5.000000;5.000000;0.000000
54.000000;0.000000;1596683.379207;79.613800;5.000000;5.000000;0.000000
55.000000;0.000000;1596059.827789;79.588175;5.000000;5.000000;0.000000
56.000000;0.000000;1595769.359914;79.576239;5.000000;5.000000;0.000000
57.000000;0.000000;1595648.394456;79.571268;5.000000;5.000000;0.000000
58.000000;0.000000;1595558.812912;79.567587;5.000000;5.000000;0.000000
59.000000;0.000000;1595343.889069;79.558755;5.000000;5.000000;0.000000
