Heure;Bilan [kWh];Stockage eau [kWh];Température du stock [°C];COP chauffage;COP ECS;ECS Gachée [kWh];Stock batterie [kWh];Stockage hydrogene [kWh];consElecPac;pertes_horaires
1.000000;0.000000;218959.410341;49.991504;8.578750;8.575107;0.000000;250.000000;10006.591727;6.820341;11.800000
2.000000;0.000000;218903.945354;49.982386;8.575107;8.571202;0.000000;250.000000;10013.063055;7.322007;11.797494
3.000000;0.000000;218845.139142;49.972720;8.571202;8.567065;0.000000;250.000000;10019.427562;7.767091;11.794804
4.000000;0.000000;218782.861307;49.962483;8.567065;8.562688;0.000000;250.000000;10025.680943;8.230118;11.791952
5.000000;0.000000;218717.108716;49.951675;8.562688;8.558072;0.000000;250.000000;10031.822910;8.694342;11.788933
6.000000;0.000000;218528.846515;49.920729;8.558072;8.553281;0.000000;237.813401;10031.822910;24.918827;11.785744
7.000000;0.000000;218042.512847;49.840788;8.544882;8.539869;0.000000;52.651611;10031.822910;64.495291;11.776615
8.000000;0.000000;217856.106652;49.810148;8.510997;8.506617;0.000000;0.391661;10031.822910;24.827344;11.753033
9.000000;0.000000;217845.610763;49.808422;8.500739;8.498315;0.000000;0.000000;10017.924651;6.519408;11.743994
10.000000;0.000000;217852.489834;49.809553;8.500012;8.498680;0.000000;0.000000;10001.371272;4.203074;11.743485
11.000000;0.000000;217740.163156;49.791089;8.500488;8.499182;0.000000;0.000000;9965.127713;20.098645;11.743818
12.000000;0.000000;217496.378103;49.751017;8.492719;8.491411;0.000000;0.000000;9916.448832;37.667371;11.738371
13.000000;0.000000;218044.481328;49.841112;8.523749;8.522367;0.000000;0.000000;9859.283419;24.127130;11.726550
14.000000;0.000000;218530.378240;49.920981;8.548608;8.547248;0.000000;38.102807;9859.283419;6.850125;11.753128
15.000000;0.000000;218547.549677;49.923804;8.549020;8.546937;0.000000;15.951297;9859.283419;5.355861;11.776689
16.000000;0.000000;218499.861621;49.915965;8.546191;8.543488;0.000000;0.000000;9852.733780;6.319917;11.777522
17.000000;0.000000;218272.275091;49.878555;8.542855;8.539906;0.000000;0.000000;9811.372596;30.182078;11.775210
18.000000;0.000000;217808.961998;49.802398;8.526972;8.523967;0.000000;0.000000;9727.877802;61.576010;11.764174
19.000000;0.000000;217512.582555;49.753681;8.494820;8.491778;0.000000;0.000000;9553.502019;39.558244;11.741707
20.000000;0.000000;217331.411214;49.723901;8.474380;8.471098;0.000000;0.000000;9362.872795;24.246823;11.727336
